Abbreviation,OfficialName,"Equation (note [c] and [e] at the beginning refer to the compartment the reaction takes place in, cytosolic and extracellular respectively)",Subsystem,ProteinClassDescription,Ref. (listed below),,,
NMNt7,NMN transport via NMN glycohydrolase,h2o[c] + nmn[e] --> h[c] + ncam[c] + r5p[c],"Transport, Extracellular",EC-3.2.2.14,137,,,
ACALDt,acetaldehyde reversible transport,acald[e] <==> acald[c],"Transport, Extracellular",,,,,
GUAt,Guanine transport,gua[e] <==> gua[c],"Transport, Extracellular",,,,,
HYXNt,Hypoxanthine transport,hxan[e] <==> hxan[c],"Transport, Extracellular",,,,,
XANt,xanthine reversible transport,xan[e] <==> xan[c],"Transport, Extracellular",,,,,
NACUP,Nicotinic acid uptake,nac[e] --> nac[c],"Transport, Extracellular",,,,,
ASNabc,L-asparagine transport via ABC system,asn-L[e] + atp[c] + h2o[c] --> adp[c] + asn-L[c] + h[c] + pi[c],"Transport, Extracellular",,,,,
ASNt2r,L-asparagine reversible transport via proton symport,asn-L[e] + h[e] <==> asn-L[c] + h[c],"Transport, Extracellular",,,,,
DAPabc,M-diaminopimelic acid ABC transport,26dap-M[e] + atp[c] + h2o[c] --> 26dap-M[c] + adp[c] + h[c] + pi[c],"Transport, Extracellular",,,,,
CYSabc,L-cysteine transport via ABC system,atp[c] + cys-L[e] + h2o[c] --> adp[c] + cys-L[c] + h[c] + pi[c],"Transport, Extracellular",,,,,
ACt2r,acetate reversible transport via proton symport,ac[e] + h[e] <==> ac[c] + h[c],"Transport, Extracellular",,,,,
ETOHt2r,ethanol reversible transport via proton symport,etoh[e] + h[e] <==> etoh[c] + h[c],"Transport, Extracellular",,,,,
PYRt2r,pyruvate reversible transport via proton symport,h[e] + pyr[e] <==> h[c] + pyr[c],"Transport, Extracellular",,,,,
O2t,o2 transport (diffusion),o2[e] <==> o2[c],"Transport, Extracellular",,,,,
CO2t,CO2 transporter via diffusion,co2[e] <==> co2[c],"Transport, Extracellular",,,,,
H2Ot,H2O transport via diffusion,h2o[e] <==> h2o[c],"Transport, Extracellular",,,,,
DHAt,Dihydroxyacetone transport via facilitated diffusion,dha[e] <==> dha[c],"Transport, Extracellular",,,,,
NH3t,ammonia reversible transport,nh4[e] <==> nh4[c],"Transport, Extracellular",,103,,,
ARBt2r,L-arabinose transport via proton symport,arab-L[e] + h[e] <==> arab-L[c] + h[c],"Transport, Extracellular",,,,,
ARBabc,L-arabinose transport via ABC system,arab-L[e] + atp[c] + h2o[c] --> adp[c] + arab-L[c] + h[c] + pi[c],"Transport, Extracellular",,,,,
HISt2r,L-histidine reversible transport via proton symport,h[e] + his-L[e] <==> h[c] + his-L[c],"Transport, Extracellular",,134,,,
PHEt2r,L-phenylalanine reversible transport via proton symport,h[e] + phe-L[e] <==> h[c] + phe-L[c],"Transport, Extracellular",,,,,
LEUt2r,L-leucine reversible transport via proton symport,h[e] + leu-L[e] <==> h[c] + leu-L[c],"Transport, Extracellular",,,,,
VALt2r,L-valine reversible transport via proton symport,h[e] + val-L[e] <==> h[c] + val-L[c],"Transport, Extracellular",,,,,
ILEt2r,L-isoleucine reversible transport via proton symport,h[e] + ile-L[e] <==> h[c] + ile-L[c],"Transport, Extracellular",,,,,
CBL1abc,Cob(1)alamin transport via ABC system,atp[c] + cbl1[e] + h2o[c] --> adp[c] + cbl1[c] + h[c] + pi[c],"Transport, Extracellular",,"13,141",,,
CADVt,Lysine/Cadaverine antiporter,15dap[c] + h[e] + lys-L[e] --> 15dap[e] + h[c] + lys-L[c],"Transport, Extracellular",,,,,
CRNt7,Carnitine/butyrobetaine antiporter,crn[e] + gbbtn[c] --> crn[c] + gbbtn[e],"Transport, Extracellular",,54,,,
NAt3_1,sodium proton antiporter (H:NA is 1:1),h[e] + na1[c] <==> h[c] + na1[e],"Transport, Extracellular",,,,,
CITt7,Citrate transport via succinate antiport,cit[e] + succ[c] --> cit[c] + succ[e],"Transport, Extracellular",,87,,,
CSNt2,cytosine transport in via proton symport,csn[e] + h[e] --> csn[c] + h[c],"Transport, Extracellular",,,,,
MALTpts,maltose transport via PEP:Pyr PTS,malt[e] + pep[c] --> malt6p[c] + pyr[c],"Transport, Extracellular",,139,,,
ACGApts,N-Acetyl-D-glucosamine transport via PEP:Pyr PTS,acgam[e] + pep[c] --> acgam6p[c] + pyr[c],"Transport, Extracellular",,132,,,
DALAt2r,D-alanine transport via proton symport,ala-D[e] + h[e] <==> ala-D[c] + h[c],"Transport, Extracellular",,,,,
DSERt2r,D-serine transport via proton symport,h[e] + ser-D[e] <==> h[c] + ser-D[c],"Transport, Extracellular",,,,,
GLYt2r,glycine reversible transport via proton symport,gly[e] + h[e] <==> gly[c] + h[c],"Transport, Extracellular",,,,,
SULabc,sulfate transport via ABC system,atp[c] + h2o[c] + so4[e] --> adp[c] + h[c] + pi[c] + so4[c],"Transport, Extracellular",,"102,141",,,
ASPt2_2,Aspartate transport via proton symport (2 H),asp-L[e] + (2) h[e] --> asp-L[c] + (2) h[c],"Transport, Extracellular",,53,,,
FUMt2_2,Fumarate transport via proton symport (2 H),fum[e] + (2) h[e] --> fum[c] + (2) h[c],"Transport, Extracellular",,53,,,
MALt2_2,Malate transport via proton symport (2 H),(2) h[e] + mal-L[e] --> (2) h[c] + mal-L[c],"Transport, Extracellular",,53,,,
SUCCt2_2,succinate transport via proton symport (2 H),(2) h[e] + succ[e] --> (2) h[c] + succ[c],"Transport, Extracellular",,53,,,
ASPt2_3,L-asparate transport via proton symport (3 H),asp-L[e] + (3) h[e] --> asp-L[c] + (3) h[c],"Transport, Extracellular",,53,,,
MALt2_3,Malate transport via proton symport (3 H),(3) h[e] + mal-L[e] --> (3) h[c] + mal-L[c],"Transport, Extracellular",,53,,,
SUCCt2_3,Succintate transport via proton symport (3 H),(3) h[e] + succ[e] --> (3) h[c] + succ[c],"Transport, Extracellular",,53,,,
SUCCt2b,Succinate efflux via proton symport,h[c] + succ[c] --> h[e] + succ[e],"Transport, Extracellular",,53,,,
FUMt2_3,Fumarate transport via proton symport (3 H),fum[e] + (3) h[e] --> fum[c] + (3) h[c],"Transport, Extracellular",,"53,126",,,
SUCFUMt,succinate:fumarate antiporter,fum[e] + succ[c] <==> fum[c] + succ[e],"Transport, Extracellular",,"53,126",,,
GALCTNt2r,"D-galactonate transport via proton symport, reversible",galctn-D[e] + h[e] <==> galctn-D[c] + h[c],"Transport, Extracellular",,"132,142",,,
GALURt2r,"D-galacturonate transport via proton symport, reversible",galur[e] + h[e] <==> galur[c] + h[c],"Transport, Extracellular",,132,,,
GLCURt2r,"D-glucuronate transport via proton symport, reversible",glcur[e] + h[e] <==> glcur[c] + h[c],"Transport, Extracellular",,132,,,
OCDCAt2,Octadecanoate transport via proton symport,h[e] + ocdca[e] --> h[c] + ocdca[c],"Transport, Extracellular",,4,,,
HDCAt2,Hexadecanoate transport via proton symport,h[e] + hdca[e] --> h[c] + hdca[c],"Transport, Extracellular",,4,,,
TTDCAt2,Tetradecanoate transport via proton symport,h[e] + ttdca[e] --> h[c] + ttdca[c],"Transport, Extracellular",,4,,,
FE2abc,iron (II) transport via ABC system,atp[c] + fe2[e] + h2o[c] --> adp[c] + fe2[c] + h[c] + pi[c],"Transport, Extracellular",,56,,,
FORt,formate transport via diffusion,for[e] <==> for[c],"Transport, Extracellular",,,,,
FUCt,L-fucose transport via proton symport,fuc-L[e] + h[e] <==> fuc-L[c] + h[c],"Transport, Extracellular",,,,,
ABUTt2,4-aminobutyrate transport in via proton symport,4abut[e] + h[e] --> 4abut[c] + h[c],"Transport, Extracellular",,,,,
GALt2,D-galactose transport in via proton symport,gal[e] + h[e] --> gal[c] + h[c],"Transport, Extracellular",,,,,
GLCt2,D-glucose transport in via proton symport,glc-D[e] + h[e] --> glc-D[c] + h[c],"Transport, Extracellular",,,,,
GALTpts,Galactitol transport via PEP:Pyr PTS,galt[e] + pep[c] --> galt1p[c] + pyr[c],"Transport, Extracellular",,,,,
GLNabc,L-glutamine transport via ABC system,atp[c] + gln-L[e] + h2o[c] --> adp[c] + gln-L[c] + h[c] + pi[c],"Transport, Extracellular",,,,,
GLYCt,glycerol transport via channel,glyc[c] <==> glyc[e],"Transport, Extracellular",,46,,,
GLYALDt,Glyceraldehyde facilitated diffusion,glyald[e] <==> glyald[c],"Transport, Extracellular",,46,,,
UREAt,Urea transport via facilitate diffusion,urea[e] <==> urea[c],"Transport, Extracellular",,46,,,
GLYC3Pt6,Glycerol-3-phosphate : phosphate antiporter,glyc3p[e] + pi[c] --> glyc3p[c] + pi[e],"Transport, Extracellular",,,,,
ASPabc,L-aspartate transport via ABC system,asp-L[e] + atp[c] + h2o[c] --> adp[c] + asp-L[c] + h[c] + pi[c],"Transport, Extracellular",,,,,
GLUabc,L-glutamate transport via ABC system,atp[c] + glu-L[e] + h2o[c] --> adp[c] + glu-L[c] + h[c] + pi[c],"Transport, Extracellular",,,,,
ASPt2,L-aspartate transport in via proton symport,asp-L[e] + h[e] --> asp-L[c] + h[c],"Transport, Extracellular",,,,,
GLUt2r,"L-glutamate transport via proton symport, reversible",glu-L[e] + h[e] <==> glu-L[c] + h[c],"Transport, Extracellular",,,,,
GLUt4,Na+/glutamate symport,glu-L[e] + na1[e] --> glu-L[c] + na1[c],"Transport, Extracellular",,,,,
ORNabc,ornithine transport via ABC system,atp[c] + h2o[c] + orn[e] --> adp[c] + h[c] + orn[c] + pi[c],"Transport, Extracellular",,,,,
ARGabc,L-arginine transport via ABC system,arg-L[e] + atp[c] + h2o[c] --> adp[c] + arg-L[c] + h[c] + pi[c],"Transport, Extracellular",,,,,
HISabc,L-histidine transport via ABC system,atp[c] + h2o[c] + his-L[e] --> adp[c] + h[c] + his-L[c] + pi[c],"Transport, Extracellular",,,,,
LYSabc,L-lysine transport via ABC system,atp[c] + h2o[c] + lys-L[e] --> adp[c] + h[c] + lys-L[c] + pi[c],"Transport, Extracellular",,,,,
IDONt2r,"L-idonate transport via proton symport, reversible",h[e] + idon-L[e] <==> h[c] + idon-L[c],"Transport, Extracellular",,5,,,
GLCNt2r,"D-gluconate transport via proton symport, reversible",glcn[e] + h[e] <==> glcn[c] + h[c],"Transport, Extracellular",,5,,,
DDGLCNt2r,"2-dehydro-3-deoxy-D-gluconate transport via proton symport, reversible",2ddglcn[e] + h[e] <==> 2ddglcn[c] + h[c],"Transport, Extracellular",,132,,,
Kabc,Potassium ABC transporter,atp[c] + h2o[c] + k[e] --> adp[c] + h[c] + k[c] + pi[c],"Transport, Extracellular",,,,,
AKGt2r,2-oxoglutarate reversible transport via symport,akg[e] + h[e] <==> akg[c] + h[c],"Transport, Extracellular",,,,,
LCTSt,Lactose transport via proton symport,h[e] + lcts[e] <==> h[c] + lcts[c],"Transport, Extracellular",,,,,
ILEabc,L-isoleucine transport via ABC system,atp[c] + h2o[c] + ile-L[e] --> adp[c] + h[c] + ile-L[c] + pi[c],"Transport, Extracellular",,,,,
THRabc,L-threonine transport via ABC system,atp[c] + h2o[c] + thr-L[e] --> adp[c] + h[c] + pi[c] + thr-L[c],"Transport, Extracellular",,93,,,
ALAabc,L-alanine transport via ABC system,ala-L[e] + atp[c] + h2o[c] --> adp[c] + ala-L[c] + h[c] + pi[c],"Transport, Extracellular",,93,,,
VALabc,L-valine transport via ABC system,atp[c] + h2o[c] + val-L[e] --> adp[c] + h[c] + pi[c] + val-L[c],"Transport, Extracellular",,,,,
LEUabc,L-leucine transport via ABC system,atp[c] + h2o[c] + leu-L[e] --> adp[c] + h[c] + leu-L[c] + pi[c],"Transport, Extracellular",,,,,
D-LACt2,D-lactate transport via proton symport,h[e] + lac-D[e] <==> h[c] + lac-D[c],"Transport, Extracellular",,76,,,
GLYCLTt2r,"glycolate transport via proton symport, reversible",glyclt[e] + h[e] <==> glyclt[c] + h[c],"Transport, Extracellular",,76,,,
L-LACt2r,L-lactate reversible transport via proton symport,h[e] + lac-L[e] <==> h[c] + lac-L[c],"Transport, Extracellular",,76,,,
LYSt2r,L-lysine reversible transport via proton symport,h[e] + lys-L[e] <==> h[c] + lys-L[c],"Transport, Extracellular",,,,,
MALTPTabc,maltopentaose transport via ABC system,atp[c] + h2o[c] + maltpt[e] --> adp[c] + h[c] + maltpt[c] + pi[c],"Transport, Extracellular",,10,,,
MALTabc,maltose transport via ABC system,atp[c] + h2o[c] + malt[e] --> adp[c] + h[c] + malt[c] + pi[c],"Transport, Extracellular",,10,,,
MALTTTRabc,maltotetraose transport via ABC system,atp[c] + h2o[c] + maltttr[e] --> adp[c] + h[c] + maltttr[c] + pi[c],"Transport, Extracellular",,10,,,
MALTHXabc,maltohexaose transport via ABC system,atp[c] + h2o[c] + malthx[e] --> adp[c] + h[c] + malthx[c] + pi[c],"Transport, Extracellular",,10,,,
MALTTRabc,Maltotriose transport via ABC system,atp[c] + h2o[c] + malttr[e] --> adp[c] + h[c] + malttr[c] + pi[c],"Transport, Extracellular",,10,,,
FRUpts2,Fructose transport via PEP:Pyr PTS (f6p generating),fru[e] + pep[c] --> f6p[c] + pyr[c],"Transport, Extracellular",,132,,,
MANpts,D-mannose transport via PEP:Pyr PTS,man[e] + pep[c] --> man6p[c] + pyr[c],"Transport, Extracellular",,132,,,
GAMpts,D-glucosamine transport via PEP:Pyr PTS,gam[e] + pep[c] --> gam6p[c] + pyr[c],"Transport, Extracellular",,132,,,
MELIBt2,melibiose transport in via symport,h[e] + melib[e] --> h[c] + melib[c],"Transport, Extracellular",,36,,,
METabc,L-methionine transport via ABC system,atp[c] + h2o[c] + met-L[e] --> adp[c] + h[c] + met-L[c] + pi[c],"Transport, Extracellular",,72,,,
METDabc,D-methionine transport via ABC system,atp[c] + h2o[c] + met-D[e] --> adp[c] + h[c] + met-D[c] + pi[c],"Transport, Extracellular",,72,,,
GALabc,D-galactose transport via ABC system,atp[c] + gal[e] + h2o[c] --> adp[c] + gal[c] + h[c] + pi[c],"Transport, Extracellular",,,,,
INDOLEt2r,"Indole transport via proton symport, reversible",h[e] + indole[e] <==> h[c] + indole[c],"Transport, Extracellular",,"58,119",,,
ACNAMt2,N-acetylneuraminate proton symport,acnam[e] + h[e] --> acnam[c] + h[c],"Transport, Extracellular",,,,,
NO3t7,nitrate transport in via nitrite antiport,no2[c] + no3[e] --> no2[e] + no3[c],"Transport, Extracellular",,18,,,
NO2t2r,"nitrite transport in via proton symport, reversible",h[e] + no2[e] <==> h[c] + no2[c],"Transport, Extracellular",,18,,,
NAt3_2,sodium proton antiporter (H:NA is 2),(2) h[e] + na1[c] --> (2) h[c] + na1[e],"Transport, Extracellular",,,,,
NAt3_1.5,sodium proton antiporter (H:NA is 1.5),(3) h[e] + (2) na1[c] --> (3) h[c] + (2) na1[e],"Transport, Extracellular",,,,,
GSNt2,guanosine transport in via proton symport,gsn[e] + h[e] --> gsn[c] + h[c],"Transport, Extracellular",,,,,
DGSNt2,deoxyguanosine transport in via proton symport,dgsn[e] + h[e] --> dgsn[c] + h[c],"Transport, Extracellular",,,,,
INSt2,inosine transport in via proton symport,h[e] + ins[e] --> h[c] + ins[c],"Transport, Extracellular",,,,,
DINSt2,deoxyinosine transport in via proton symport,din[e] + h[e] --> din[c] + h[c],"Transport, Extracellular",,,,,
ADNt2,adenosine transport in via proton symport,adn[e] + h[e] --> adn[c] + h[c],"Transport, Extracellular",,,,,
URIt2,uridine transport in via proton symport,h[e] + uri[e] --> h[c] + uri[c],"Transport, Extracellular",,,,,
CYTDt2,cytidine transport in via proton symport,cytd[e] + h[e] --> cytd[c] + h[c],"Transport, Extracellular",,,,,
DCYTt2,deoxycytidine transport in via proton symport,dcyt[e] + h[e] --> dcyt[c] + h[c],"Transport, Extracellular",,,,,
DURIt2,deoxyuridine transport in via proton symport,duri[e] + h[e] --> duri[c] + h[c],"Transport, Extracellular",,,,,
DADNt2,deoxyadenosine transport in via proton symport,dad-2[e] + h[e] --> dad-2[c] + h[c],"Transport, Extracellular",,,,,
THMDt2,thymidine transport in via proton symport,h[e] + thymd[e] --> h[c] + thymd[c],"Transport, Extracellular",,,,,
PNTOt4,Pantothenate sodium symporter,na1[e] + pnto-R[e] --> na1[c] + pnto-R[c],"Transport, Extracellular",,,,,
PIt2r,phosphate reversible transport via symport,h[e] + pi[e] <==> h[c] + pi[c],"Transport, Extracellular",,,,,
NMNP,NMN permease,nmn[e] --> nmn[c],"Transport, Extracellular",,,,,
PTRCabc,putrescine transport via ABC system,atp[c] + h2o[c] + ptrc[e] --> adp[c] + h[c] + pi[c] + ptrc[c],"Transport, Extracellular",,,,,
SPMDabc,spermidine transport via ABC system,atp[c] + h2o[c] + spmd[e] --> adp[c] + h[c] + pi[c] + spmd[c],"Transport, Extracellular",,,,,
PTRCORNt7,putrescine/ornithine antiporter,orn[c] + ptrc[e] <==> orn[e] + ptrc[c],"Transport, Extracellular",,59,,,
PTRCt2r,"putrescine transport in via proton symport, reversible",h[e] + ptrc[e] <==> h[c] + ptrc[c],"Transport, Extracellular",,59,,,
PROt2r,L-proline reversible transport via proton symport,h[e] + pro-L[e] <==> h[c] + pro-L[c],"Transport, Extracellular",,,,,
PROabc,L-proline transport via ABC system,atp[c] + h2o[c] + pro-L[e] --> adp[c] + h[c] + pi[c] + pro-L[c],"Transport, Extracellular",,,,,
PIabc,phosphate transport via ABC system,atp[c] + h2o[c] + pi[e] --> adp[c] + h[c] + (2) pi[c],"Transport, Extracellular",,,,,
ACMANApts,N-acetyl-D-mannosamine transport via PTS,acmana[e] + pep[c] --> acmanap[c] + pyr[c],"Transport, Extracellular",,84,,,
MNLpts,mannitol transport via PEP:Pyr PTS,mnl[e] + pep[c] --> mnl1p[c] + pyr[c],"Transport, Extracellular",,,,,
SUCpts,sucrose transport via PEP:Pyr PTS,pep[c] + sucr[e] --> pyr[c] + suc6p[c],"Transport, Extracellular",,,,,
GLCpts,D-glucose transport via PEP:Pyr PTS,glc-D[e] + pep[c] --> g6p[c] + pyr[c],"Transport, Extracellular",,"132,139",,,
FRUpts,D-fructose transport via PEP:Pyr PTS,fru[e] + pep[c] --> f1p[c] + pyr[c],"Transport, Extracellular",,,,,
TREpts,trehalose transport via PEP:Pyr PTS,pep[c] + tre[e] --> pyr[c] + tre6p[c],"Transport, Extracellular",,,,,
PROt4,Na+/Proline-L symporter,na1[e] + pro-L[e] --> na1[c] + pro-L[c],"Transport, Extracellular",,,,,
RMNt,L-rhamnose transport via proton symport,h[e] + rmn[e] --> h[c] + rmn[c],"Transport, Extracellular",,,,,
TSULabc,thiosulfate transport via ABC system,atp[c] + h2o[c] + tsul[e] --> adp[c] + h[c] + pi[c] + tsul[c],"Transport, Extracellular",,"102,141",,,
SERt2r,L-serine reversible transport via proton symport,h[e] + ser-L[e] <==> h[c] + ser-L[c],"Transport, Extracellular",,61,,,
THMabc,thiamine transport via ABC system,atp[c] + h2o[c] + thm[e] --> adp[c] + h[c] + pi[c] + thm[c],"Transport, Extracellular",,"49,141",,,
SBTpts,D-sorbitol transport via PEP:Pyr PTS,pep[c] + sbt-D[e] --> pyr[c] + sbt6p[c],"Transport, Extracellular",,,,,
SERt4,L-serine via sodium symport,na1[e] + ser-L[e] --> na1[c] + ser-L[c],"Transport, Extracellular",,61,,,
THRt4,L-threonine  via sodium symport,na1[e] + thr-L[e] --> na1[c] + thr-L[c],"Transport, Extracellular",,79,,,
TAURabc,taurine transport via ABC system,atp[c] + h2o[c] + taur[e] --> adp[c] + h[c] + pi[c] + taur[c],"Transport, Extracellular",,27,,,
THRt2r,L-threonine reversible transport via proton symport,h[e] + thr-L[e] <==> h[c] + thr-L[c],"Transport, Extracellular",,61,,,
TRPt2r,L-tryptophan reversible transport via proton symport,h[e] + trp-L[e] <==> h[c] + trp-L[c],"Transport, Extracellular",,131,,,
Kt2r,potassium reversible transport  via proton symport,h[e] + k[e] <==> h[c] + k[c],"Transport, Extracellular",,,,,
TYRt2r,L-tyrosine reversible transport via proton symport,h[e] + tyr-L[e] <==> h[c] + tyr-L[c],"Transport, Extracellular",,"82,131",,,
GLYC3Pabc,sn-Glycerol 3-phosphate transport via ABC system,atp[c] + glyc3p[e] + h2o[c] --> adp[c] + glyc3p[c] + h[c] + pi[c],"Transport, Extracellular",,142,,,
MAN6Pt6_2,Mannose-6-phosphate transport via phosphate antiport,man6p[e] + (2) pi[c] --> man6p[c] + (2) pi[e],"Transport, Extracellular",,135,,,
G6Pt6_2,Glucose-6-phosphate transport via phosphate antiport,g6p[e] + (2) pi[c] --> g6p[c] + (2) pi[e],"Transport, Extracellular",,135,,,
FUCPt6_2,Fucose 1-phosphate transport via phosphate antiport,fuc1p-L[e] + (2) pi[c] --> fuc1p-L[c] + (2) pi[e],"Transport, Extracellular",,135,,,
URAt2,uracil transport in via proton symport,h[e] + ura[e] --> h[c] + ura[c],"Transport, Extracellular",,,,,
XTSNt2r,Xanthosine transport via proton symport,h[e] + xtsn[e] <==> h[c] + xtsn[c],"Transport, Extracellular",,75,,,
INSt2r,"inosine transport in via proton symport, reversible",h[e] + ins[e] <==> h[c] + ins[c],"Transport, Extracellular",,75,,,
ADNt2r,"adenosine transport in via proton symport, reversible",adn[e] + h[e] <==> adn[c] + h[c],"Transport, Extracellular",,75,,,
CYTDt2r,"cytidine transport in via proton symport, reversible",cytd[e] + h[e] <==> cytd[c] + h[c],"Transport, Extracellular",,75,,,
THMDt2r,"thymidine transport in via proton symport, reversible",h[e] + thymd[e] <==> h[c] + thymd[c],"Transport, Extracellular",,75,,,
URIt2r,"uridine transport in via proton symport, reversible",h[e] + uri[e] <==> h[c] + uri[c],"Transport, Extracellular",,75,,,
XYLt2,D-xylose transport in via proton symport,h[e] + xyl-D[e] --> h[c] + xyl-D[c],"Transport, Extracellular",,,,,
XYLabc,D-xylose transport via ABC system,atp[c] + h2o[c] + xyl-D[e] --> adp[c] + h[c] + pi[c] + xyl-D[c],"Transport, Extracellular",,,,,
CHLt2r,"choline transport via proton symport, reversible",chol[e] + h[e] <==> chol[c] + h[c],"Transport, Extracellular",,64,,,
ADEt2r,adenine transport via proton symport (reversible),ade[e] + h[e] <==> ade[c] + h[c],"Transport, Extracellular",,,,,
RIBabc,D-ribose transport via ABC system,atp[c] + h2o[c] + rib-D[e] --> adp[c] + h[c] + pi[c] + rib-D[c],"Transport, Extracellular",,,,,
PSCVT,3-phosphoshikimate 1-carboxyvinyltransferase,[c]pep + skm5p <==> 3psme + pi,"Tyrosine, Tryptophan, and Phenylalanine Metabolism",EC-2.5.1.19,,,,
DHQS,3-dehydroquinate synthase,[c]2dda7p --> 3dhq + pi,"Tyrosine, Tryptophan, and Phenylalanine Metabolism",,,,,
CHORS,chorismate synthase,[c]3psme --> chor + pi,"Tyrosine, Tryptophan, and Phenylalanine Metabolism",EC-4.2.3.5,,,,
DHQD,3-dehydroquinate dehydratase,[c]3dhq <==> 3dhsk + h2o,"Tyrosine, Tryptophan, and Phenylalanine Metabolism",EC-4.2.1.10,,,,
SHK3Dr,shikimate dehdrogenase,[c]3dhsk + h + nadph <==> nadp + skm,"Tyrosine, Tryptophan, and Phenylalanine Metabolism",EC-1.1.1.25,,,,
DDPA,3-deoxy-D-arabino-heptulosonate 7-phosphate synthetase,[c]e4p + h2o + pep --> 2dda7p + pi,"Tyrosine, Tryptophan, and Phenylalanine Metabolism",EC-4.1.2.15,,,,
SHKK,shikimate kinase,[c]atp + skm --> adp + h + skm5p,"Tyrosine, Tryptophan, and Phenylalanine Metabolism",EC-2.7.1.71,,,,
PPNDH,prephenate dehydratase,[c]h + pphn --> co2 + h2o + phpyr,"Tyrosine, Tryptophan, and Phenylalanine Metabolism",EC-4.2.1.51,,,,
CHORM,chorismate mutase,[c]chor --> pphn,"Tyrosine, Tryptophan, and Phenylalanine Metabolism",EC-5.4.99.5,,,,
TRPAS2,Tryptophanase (L-tryptophan),[c]h2o + trp-L <==> indole + nh4 + pyr,"Tyrosine, Tryptophan, and Phenylalanine Metabolism",EC-4.1.99.1,,,,
TRPS2,tryptophan synthase (indole),[c]indole + ser-L --> h2o + trp-L,"Tyrosine, Tryptophan, and Phenylalanine Metabolism",EC-4.2.1.20,138,,,
TRPS3,tryptophan synthase (indoleglycerol phosphate),[c]3ig3p --> g3p + indole,"Tyrosine, Tryptophan, and Phenylalanine Metabolism",EC-4.2.1.20,138,,,
TRPS1,tryptophan synthase (indoleglycerol phosphate),[c]3ig3p + ser-L --> g3p + h2o + trp-L,"Tyrosine, Tryptophan, and Phenylalanine Metabolism",EC-4.2.1.20,,,,
PRAIi,phosphoribosylanthranilate isomerase (irreversible),[c]pran --> 2cpr5p,"Tyrosine, Tryptophan, and Phenylalanine Metabolism",EC-5.3.1.24,,,,
IGPS,indole-3-glycerol-phosphate synthase,[c]2cpr5p + h --> 3ig3p + co2 + h2o,"Tyrosine, Tryptophan, and Phenylalanine Metabolism",EC-4.1.1.48,,,,
ANS,anthranilate synthase,[c]chor + gln-L --> anth + glu-L + h + pyr,"Tyrosine, Tryptophan, and Phenylalanine Metabolism",EC-4.1.3.27,,,,
ANPRT,anthranilate phosphoribosyltransferase,[c]anth + prpp --> ppi + pran,"Tyrosine, Tryptophan, and Phenylalanine Metabolism",EC-2.4.2.18,,,,
PPND,prephenate dehydrogenase,[c]nad + pphn --> 34hpp + co2 + nadh,"Tyrosine, Tryptophan, and Phenylalanine Metabolism",EC-1.3.1.12,,,,
TYRTA,tyrosine transaminase,[c]akg + tyr-L <==> 34hpp + glu-L,"Tyrosine, Tryptophan, and Phenylalanine Metabolism",EC-2.6.1.5,,,,
PHETA1,phenylalanine transaminase,[c]akg + phe-L <==> glu-L + phpyr,"Tyrosine, Tryptophan, and Phenylalanine Metabolism",EC-2.6.1.58,138,,,
ATPM,ATP maintenance requirement,[c]atp + h2o --> adp + h + pi,Unassigned,,,,,
BETALDHx,betaine-aldehyde dehydrogenase,[c]betald + h2o + nad --> glyb + (2) h + nadh,Unassigned,EC-1.2.1.8,29,,,
BETALDHy,betaine-aldehyde dehydrogenase,[c]betald + h2o + nadp --> glyb + (2) h + nadph,Unassigned,EC-1.2.1.8,29,,,
HCO3E,HCO3 equilibration reaction,[c]co2 + h2o <==> h + hco3,Unassigned,,,,,
CYANST,Cyanide sulfurtransferase,[c]cyan + tsul --> h + so3 + tcynt,Unassigned,EC-2.8.1.1,91,,,
CAT,catalase,[c](2) h2o2 --> (2) h2o + o2,Unassigned,EC-1.11.1.6,58,,,
SELNPS,Selenophosphate synthase,[c]atp + h2o + seln --> amp + pi + selnp,Unassigned,EC-2.7.9.3,112,,,
SPODM,superoxide dismutase,[c](2) h + (2) o2- --> h2o2 + o2,Unassigned,EC-1.15.1.1,136,,,
ACONMT,Trans-aconitate methyltransferase,[c]acon-T + amet --> aconm + ahcys,Unassigned,,"14,15",,,
THRD_L,L-threonine deaminase,[c]thr-L --> 2obut + nh4,"Valine, leucine, and isoleucine metabolism",,,,,
ACHBS,2-aceto-2-hydroxybutanoate synthase,[c]2obut + h + pyr --> 2ahbut + co2,"Valine, leucine, and isoleucine metabolism",,,,,
ACLS,acetolactate synthase,[c]h + (2) pyr --> alac-S + co2,"Valine, leucine, and isoleucine metabolism",EC-4.1.3.18,,,,
KARA2i,ketol-acid reductoisomerase (2-Aceto-2-hydroxybutanoate),[c]2ahbut + h + nadph --> 23dhmp + nadp,"Valine, leucine, and isoleucine metabolism",EC-1.1.1.86,,,,
KARA1i,acetohydroxy acid isomeroreductase,[c]alac-S + h + nadph --> 23dhmb + nadp,"Valine, leucine, and isoleucine metabolism",EC-1.1.1.86,,,,
DHAD2,"Dihydroxy-acid dehydratase (2,3-dihydroxy-3-methylpentanoate)",[c]23dhmp --> 3mop + h2o,"Valine, leucine, and isoleucine metabolism",,,,,
